SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP02,G4,P05,2021-01-15,3430,120,202
SP21,G4,P14,2021-01-18,4165,61,348
SP25,G1,P03,2021-01-18,2380,209,159
SP03,G6,P14,2021-01-18,6594,114,413
SP04,G5,P04,2021-01-18,1428,55,76
SP19,G5,P07,2021-01-18,2646,150,116
SP10,G1,P01,2021-01-18,238,364,11
SP24,G5,P04,2021-01-18,945,298,50
SP11,G6,P10,2021-01-18,9436,102,337
SP17,G2,P10,2021-01-18,4081,116,152
SP04,G2,P08,2021-01-18,10556,25,587
SP01,G2,P14,2021-01-18,2331,38,167
SP11,G3,P16,2021-01-19,896,346,32
SP20,G1,P18,2021-01-19,4214,314,169
SP20,G3,P09,2021-01-19,2121,90,177
SP23,G1,P13,2021-01-19,1029,386,47
SP08,G1,P05,2021-01-19,15407,103,771
SP03,G4,P17,2021-01-19,10129,134,406
SP13,G2,P20,2021-01-19,16380,203,1092
SP24,G1,P14,2021-01-19,3899,102,279
SP05,G3,P10,2021-01-19,12075,264,432
SP11,G2,P18,2021-01-19,10696,115,428
SP19,G2,P03,2021-01-19,4039,436,238
SP18,G1,P22,2021-01-19,5250,410,202
SP21,G1,P08,2021-01-19,8113,25,508
SP08,G6,P06,2021-01-19,161,95,10
SP07,G6,P10,2021-01-19,8218,205,294
SP06,G5,P15,2021-01-19,742,80,53
SP03,G2,P11,2021-01-19,3087,193,111
SP08,G1,P18,2021-01-19,5110,131,155
SP04,G4,P04,2021-01-19,5873,164,267
SP11,G6,P05,2021-01-19,4641,301,357
SP04,G4,P22,2021-01-20,1155,34,45
SP10,G6,P02,2021-01-20,784,247,49
SP25,G4,P05,2021-01-20,5369,16,384
SP10,G3,P06,2021-01-20,343,338,18
SP10,G6,P19,2021-01-20,7007,38,584
SP15,G1,P15,2021-01-20,126,127,13
SP16,G1,P08,2021-01-20,3073,57,134
SP19,G4,P21,2021-01-21,7805,86,488
SP09,G6,P11,2021-01-21,3087,14,124
SP13,G4,P21,2021-01-21,9030,85,452
SP04,G2,P20,2021-01-21,7805,6,411
SP18,G1,P11,2021-01-21,6979,38,233
SP19,G1,P07,2021-01-21,11284,39,513
SP17,G5,P01,2021-01-21,2408,106,90
SP03,G6,P02,2021-01-21,5299,86,332
SP10,G6,P16,2021-01-21,6293,158,234
SP08,G5,P03,2021-01-21,280,408,17
SP05,G1,P13,2021-01-21,644,483,30
SP07,G5,P21,2021-01-21,2191,65,110
SP16,G4,P21,2021-01-21,427,267,26
SP14,G3,P20,2021-01-21,5537,346,426
SP18,G5,P08,2021-01-21,742,264,31
SP23,G3,P13,2021-01-21,4200,457,248
SP08,G6,P15,2021-01-21,5299,203,442
SP08,G2,P17,2021-01-21,3829,286,160
SP20,G4,P18,2021-01-21,5747,70,192
SP06,G4,P13,2021-01-21,2345,199,147
SP12,G4,P09,2021-01-22,4312,181,616
SP25,G4,P13,2021-01-22,1358,68,68
SP01,G2,P09,2021-01-22,13146,85,1644
SP05,G5,P14,2021-01-22,12047,295,927
SP08,G3,P20,2021-01-22,5971,44,460
SP16,G4,P02,2021-01-22,3038,280,254
SP20,G6,P16,2021-01-22,8022,167,268
SP16,G3,P15,2021-01-22,2226,1,248
SP10,G3,P17,2021-01-22,2366,470,79
SP24,G5,P02,2021-01-22,8386,194,599
SP03,G3,P16,2021-01-22,13230,261,576
SP17,G6,P03,2021-01-22,1771,151,111
SP13,G6,P04,2021-01-22,3416,458,228
SP17,G6,P13,2021-01-22,15197,11,634
SP08,G4,P15,2021-01-22,5971,59,498
SP02,G6,P09,2021-01-22,13335,227,1667
SP23,G3,P21,2021-01-22,4613,54,210
SP12,G1,P12,2021-01-22,10430,110,580
SP20,G2,P03,2021-01-22,168,94,10
SP25,G6,P08,2021-01-22,4606,256,192
SP11,G6,P14,2021-01-22,1491,193,136
SP02,G1,P08,2021-01-25,12194,302,509
SP12,G6,P04,2021-01-25,10122,206,533
SP09,G5,P08,2021-01-25,1841,164,88
SP16,G6,P09,2021-01-25,6958,337,580
SP07,G1,P08,2021-01-25,749,323,35
SP16,G6,P04,2021-01-25,3507,48,195
SP17,G4,P15,2021-01-25,7294,122,562
SP10,G1,P12,2021-01-25,5040,219,420
SP10,G1,P16,2021-01-25,3913,257,157
SP09,G2,P02,2021-01-25,3598,101,300
SP19,G2,P10,2021-01-25,8911,302,319
SP08,G4,P22,2021-01-25,42,35,2
SP13,G1,P21,2021-01-25,2282,222,109
SP23,G3,P08,2021-01-25,12964,242,541
SP09,G3,P20,2021-01-25,5775,219,361
SP16,G4,P10,2021-01-25,10787,100,400
SP20,G5,P21,2021-01-25,6342,115,374
SP14,G1,P22,2021-01-25,11564,46,463
SP03,G2,P04,2021-01-25,2793,37,156
SP18,G3,P19,2021-01-25,1603,81,134
SP06,G5,P03,2021-01-25,3052,357,180
SP12,G3,P21,2021-01-25,1659,82,83
SP01,G4,P05,2021-01-25,3143,82,210
SP02,G2,P21,2021-01-25,12782,212,609
SP21,G4,P19,2021-01-25,343,313,32
SP10,G4,P14,2021-01-25,1785,216,138
SP10,G3,P09,2021-01-25,4914,46,615
SP18,G6,P14,2021-01-26,1869,242,208
SP04,G1,P10,2021-01-26,8512,173,387
SP23,G6,P09,2021-01-26,9296,1,716
SP20,G5,P07,2021-01-26,6034,229,263
SP22,G1,P11,2021-01-26,9471,166,365
SP15,G1,P22,2021-01-26,3815,146,166
SP01,G4,P06,2021-01-26,9485,140,527
SP16,G2,P16,2021-01-26,3549,78,132
SP04,G6,P09,2021-01-26,1512,61,117
SP13,G3,P16,2021-01-26,2296,113,96
SP11,G1,P01,2021-01-27,17402,43,697
SP15,G6,P12,2021-01-27,11816,160,844
SP17,G4,P16,2021-01-27,10612,232,425
SP01,G2,P01,2021-01-27,5558,263,192
SP21,G6,P04,2021-01-27,14056,148,781
SP09,G2,P16,2021-01-27,5131,171,166
SP16,G2,P08,2021-01-27,1477,352,87
SP06,G5,P04,2021-01-27,7686,72,549
SP23,G6,P13,2021-01-27,8722,35,460
SP08,G6,P16,2021-01-27,6370,35,206
SP03,G6,P13,2021-01-27,4074,208,240
SP24,G4,P11,2021-01-27,1309,97,51
SP07,G5,P20,2021-01-27,4991,137,357
SP04,G3,P22,2021-01-27,6965,91,367
SP15,G5,P18,2021-01-27,10199,497,408
SP12,G4,P21,2021-01-27,7392,9,390
SP01,G4,P12,2021-01-27,5880,71,392
SP04,G2,P11,2021-01-27,5950,25,238
SP14,G2,P16,2021-01-27,10395,57,336
SP22,G1,P07,2021-01-27,6174,33,247
SP04,G4,P19,2021-01-27,15239,170,1524
SP21,G3,P09,2021-01-27,2219,145,247
SP17,G4,P19,2021-01-27,3150,70,243
SP17,G6,P15,2021-01-27,2968,216,212
SP02,G3,P05,2021-01-27,3241,199,163
SP15,G3,P07,2021-01-27,3605,120,151
SP20,G3,P08,2021-01-28,3640,169,174
SP11,G3,P08,2021-01-28,1309,294,77
SP13,G1,P06,2021-01-28,10346,131,739
SP15,G3,P04,2021-01-28,1071,359,54
SP11,G6,P19,2021-01-28,6328,119,791
SP07,G3,P11,2021-01-28,1820,143,68
SP09,G1,P21,2021-01-28,3437,179,157
SP17,G6,P14,2021-01-28,4550,214,455
SP01,G3,P07,2021-01-28,2968,259,110
SP14,G2,P06,2021-01-28,12565,4,898
SP17,G3,P01,2021-01-28,8246,294,318
SP09,G1,P05,2021-01-28,1190,137,70
SP24,G4,P06,2021-01-28,3283,146,183
SP08,G5,P18,2021-01-28,3087,300,115
SP20,G1,P21,2021-01-28,6531,244,297
SP16,G2,P14,2021-01-28,4228,55,249
SP24,G2,P17,2021-01-28,10094,118,389
SP21,G4,P01,2021-01-28,182,46,6
SP22,G4,P14,2021-01-28,616,151,37
SP24,G2,P20,2021-01-29,12131,121,809
SP07,G2,P07,2021-01-29,2394,323,93
SP12,G1,P14,2021-01-29,14287,89,841
SP11,G4,P03,2021-01-29,10941,185,730
SP24,G6,P07,2021-01-29,7777,345,260
SP06,G3,P09,2021-01-29,9436,7,858
SP07,G3,P12,2021-01-29,1267,104,116
SP07,G2,P11,2021-01-29,8806,32,327
SP06,G6,P21,2021-01-29,3640,403,243
SP07,G6,P17,2021-01-29,4900,239,182
SP18,G5,P14,2021-01-29,5558,219,348
SP25,G4,P03,2021-01-29,9142,1,436
SP02,G6,P05,2021-01-29,3514,143,235
SP19,G3,P02,2021-01-29,140,91,10
SP15,G6,P10,2021-02-01,11844,211,439
SP03,G4,P01,2021-02-01,6517,54,233
SP07,G1,P01,2021-02-01,8715,24,282
SP05,G1,P16,2021-02-01,4851,455,180
SP01,G2,P16,2021-02-01,10983,185,379
SP21,G5,P15,2021-02-01,3290,75,329
SP11,G5,P16,2021-02-01,6545,86,212
SP03,G3,P19,2021-02-01,441,7,45
SP14,G1,P21,2021-02-01,9849,75,580
SP09,G4,P14,2021-02-01,3073,9,308
SP17,G2,P16,2021-02-01,4452,75,149
SP12,G3,P13,2021-02-01,10220,105,538
SP09,G6,P19,2021-02-01,3150,11,210
SP07,G2,P20,2021-02-01,6083,43,381
SP08,G6,P12,2021-02-01,14063,140,1407
SP07,G6,P19,2021-02-01,4578,256,306
SP19,G1,P14,2021-02-01,6454,21,461
SP15,G2,P18,2021-02-02,6650,166,256
SP01,G1,P22,2021-02-02,2436,203,94
SP21,G4,P21,2021-02-02,6944,33,331
SP05,G1,P11,2021-02-02,19817,126,684
SP01,G1,P02,2021-02-02,3521,50,235
SP12,G2,P11,2021-02-02,10458,546,327
SP24,G4,P08,2021-02-02,1302,401,57
SP10,G5,P11,2021-02-02,7952,221,249
SP13,G5,P06,2021-02-02,4753,133,265
SP11,G1,P13,2021-02-02,11452,81,546
SP03,G1,P10,2021-02-02,9345,124,390
SP16,G1,P05,2021-02-02,7490,172,357
SP25,G1,P16,2021-02-02,1519,127,57
SP09,G6,P20,2021-02-02,3087,135,155
SP06,G6,P20,2021-02-02,2352,178,168
SP17,G3,P15,2021-02-02,11578,76,891
SP11,G2,P22,2021-02-02,462,223,22
SP24,G1,P17,2021-02-03,6916,32,315
SP11,G1,P09,2021-02-03,3248,101,542
SP25,G3,P01,2021-02-03,6475,431,240
SP23,G6,P22,2021-02-03,9009,129,501
SP17,G3,P14,2021-02-03,2835,20,189
SP14,G1,P01,2021-02-03,7644,77,294
SP19,G6,P19,2021-02-03,3360,48,240
SP19,G2,P05,2021-02-03,1379,246,99
SP22,G2,P16,2021-02-03,9534,229,382
SP17,G2,P22,2021-02-03,14448,28,657
SP24,G2,P15,2021-02-03,3829,432,240
SP03,G4,P09,2021-02-04,9086,206,758
SP15,G3,P01,2021-02-04,5803,299,194
SP25,G6,P18,2021-02-04,182,36,7
SP18,G6,P13,2021-02-04,9863,21,520
SP06,G4,P09,2021-02-04,4046,80,289
SP09,G6,P12,2021-02-04,3493,140,350
SP13,G3,P03,2021-02-04,392,89,18
SP05,G1,P10,2021-02-04,2534,19,111
SP22,G6,P13,2021-02-04,7084,6,308
SP05,G6,P09,2021-02-04,4809,70,344
SP16,G3,P07,2021-02-04,7959,273,266
SP15,G3,P08,2021-02-04,10521,231,527
SP15,G3,P12,2021-02-04,56,168,5
SP19,G6,P15,2021-02-04,3017,103,189
SP12,G1,P09,2021-02-04,18949,300,2707
SP24,G6,P01,2021-02-04,8764,69,338
SP14,G1,P04,2021-02-04,12201,103,643
SP20,G2,P10,2021-02-04,11935,189,460
SP01,G2,P20,2021-02-04,3724,322,266
SP23,G3,P06,2021-02-04,2646,70,166
SP03,G1,P14,2021-02-04,686,18,46
SP12,G5,P20,2021-02-04,2037,272,128
SP23,G1,P21,2021-02-04,6300,208,300
SP11,G3,P22,2021-02-04,2541,14,111
SP04,G1,P04,2021-02-04,1883,97,118
SP08,G1,P10,2021-02-04,10255,180,446
SP22,G6,P11,2021-02-05,5803,98,233
SP09,G1,P02,2021-02-05,8260,239,1033
SP24,G1,P15,2021-02-05,14868,5,1859
SP03,G2,P06,2021-02-05,4137,10,276
SP10,G6,P11,2021-02-05,7161,480,276
SP24,G2,P07,2021-02-05,9625,149,332
SP19,G3,P16,2021-02-05,12852,296,429
SP18,G3,P06,2021-02-05,7546,365,581
SP19,G2,P06,2021-02-05,4123,104,275
SP21,G1,P16,2021-02-05,13174,78,573
SP17,G2,P02,2021-02-05,7637,161,546
SP18,G2,P15,2021-02-05,3311,128,332
SP21,G1,P04,2021-02-05,2338,52,107
SP06,G1,P17,2021-02-08,3465,228,139
SP17,G5,P22,2021-02-08,2345,435,107
SP18,G3,P16,2021-02-08,12698,53,471
SP01,G4,P13,2021-02-08,6678,24,334
SP12,G3,P15,2021-02-08,4851,120,324
SP08,G4,P07,2021-02-08,336,164,12
SP12,G3,P09,2021-02-08,2366,8,198
SP08,G2,P08,2021-02-08,10598,226,461
SP01,G1,P20,2021-02-08,13293,199,665
SP23,G5,P02,2021-02-08,2086,90,261
SP04,G5,P22,2021-02-08,2751,133,120
SP02,G3,P10,2021-02-08,5481,283,275
SP09,G2,P20,2021-02-08,5628,11,433
SP22,G2,P17,2021-02-08,2660,113,89
SP20,G1,P03,2021-02-09,1386,157,82
SP17,G6,P01,2021-02-09,11060,175,382
SP16,G5,P21,2021-02-09,2919,147,172
SP25,G3,P08,2021-02-09,8680,334,457
SP09,G2,P10,2021-02-09,1484,362,71
SP17,G3,P21,2021-02-09,16919,199,996
SP21,G5,P11,2021-02-09,13188,215,440
SP11,G5,P04,2021-02-09,4998,182,294
SP14,G6,P13,2021-02-09,6146,64,342
SP19,G1,P01,2021-02-09,5621,162,217
SP18,G6,P05,2021-02-09,980,75,47
SP13,G2,P03,2021-02-10,7343,116,350
SP01,G3,P17,2021-02-10,1750,9,63
SP05,G1,P06,2021-02-10,2464,90,165
SP09,G2,P01,2021-02-10,1974,47,86
SP22,G5,P19,2021-02-10,11823,52,986
SP15,G4,P13,2021-02-10,7350,250,335
SP15,G3,P15,2021-02-10,4165,170,417
SP03,G1,P13,2021-02-10,630,41,28
SP09,G3,P15,2021-02-10,2282,238,143
SP17,G3,P12,2021-02-10,5250,37,292
SP06,G3,P03,2021-02-10,11676,253,730
SP17,G5,P17,2021-02-10,14917,289,533
SP22,G3,P18,2021-02-11,4634,100,155
SP05,G2,P18,2021-02-11,819,196,27
SP10,G1,P07,2021-02-11,2422,60,106
SP13,G3,P18,2021-02-11,1463,158,59
SP15,G3,P18,2021-02-11,1050,10,32
SP20,G6,P22,2021-02-11,1526,527,85
SP03,G4,P02,2021-02-11,427,163,27
SP06,G2,P10,2021-02-11,10976,132,440
SP04,G4,P05,2021-02-12,6503,299,407
SP13,G6,P08,2021-02-12,21,300,1
SP05,G6,P06,2021-02-12,7063,13,393
SP24,G3,P22,2021-02-12,3990,50,200
SP14,G4,P19,2021-02-12,1806,184,129
SP16,G1,P14,2021-02-12,10136,115,597
SP12,G6,P03,2021-02-12,1288,119,62
SP20,G3,P14,2021-02-12,1295,107,87
SP09,G2,P19,2021-02-12,6461,288,718
SP22,G4,P18,2021-02-12,4949,31,155
SP18,G4,P12,2021-02-12,5432,39,302
SP15,G3,P17,2021-02-12,7112,55,246
SP12,G6,P22,2021-02-12,266,112,11
SP05,G2,P02,2021-02-12,6202,44,414
SP22,G4,P11,2021-02-15,1057,288,43
SP15,G6,P07,2021-02-15,1925,460,67
SP04,G1,P13,2021-02-15,1841,185,77
SP07,G3,P10,2021-02-15,1204,5,61
SP04,G4,P13,2021-02-15,4074,146,186
SP16,G2,P18,2021-02-15,4473,39,150
SP16,G6,P15,2021-02-15,2947,210,246
SP23,G2,P16,2021-02-15,15386,59,642
SP04,G6,P01,2021-02-15,4690,229,188
SP24,G2,P14,2021-02-15,343,158,39
SP14,G3,P05,2021-02-15,3052,393,146
SP19,G5,P18,2021-02-15,686,187,25
SP04,G3,P14,2021-02-15,6993,133,538
SP21,G6,P01,2021-02-16,5236,170,169
SP06,G1,P10,2021-02-16,8638,212,333
SP07,G4,P18,2021-02-16,5712,288,191
SP03,G2,P05,2021-02-16,6258,334,330
SP04,G2,P19,2021-02-16,3234,90,294
SP15,G1,P16,2021-02-16,17577,32,677
SP11,G2,P06,2021-02-16,12684,217,668
SP05,G1,P08,2021-02-16,1239,29,54
SP15,G6,P02,2021-02-16,3402,55,243
SP12,G1,P21,2021-02-16,11382,432,633
SP18,G1,P01,2021-02-16,7133,212,265
SP22,G1,P01,2021-02-17,8309,171,333
SP23,G4,P12,2021-02-17,1435,3,131
SP02,G3,P06,2021-02-17,3227,126,216
SP25,G4,P07,2021-02-17,133,195,6
SP05,G5,P08,2021-02-17,5446,425,273
SP12,G1,P08,2021-02-17,4424,91,261
SP22,G6,P01,2021-02-17,1827,168,80
SP04,G4,P18,2021-02-17,8232,264,305
SP07,G5,P02,2021-02-17,861,262,62
SP01,G4,P19,2021-02-17,8099,178,675
SP17,G5,P20,2021-02-17,5894,592,281
SP25,G2,P11,2021-02-17,8211,601,257
SP07,G1,P11,2021-02-17,10360,206,415
SP14,G6,P01,2021-02-17,5145,98,166
SP08,G6,P02,2021-02-17,9163,235,1146
SP17,G1,P14,2021-02-17,15323,33,1393
SP16,G3,P09,2021-02-17,7994,177,1000
SP13,G3,P21,2021-02-17,6363,87,455
SP20,G4,P22,2021-02-17,3262,185,172
SP05,G5,P07,2021-02-17,2793,93,127
SP17,G1,P16,2021-02-18,8491,338,340
SP02,G5,P17,2021-02-18,13685,39,571
SP21,G3,P14,2021-02-18,770,137,52
SP25,G3,P02,2021-02-18,8631,399,1079
SP22,G4,P12,2021-02-18,4536,120,267
SP17,G6,P08,2021-02-18,14497,21,605
SP17,G5,P21,2021-02-18,7672,112,452
SP03,G5,P08,2021-02-18,10878,329,573
SP02,G5,P02,2021-02-18,12572,94,1397
SP19,G5,P02,2021-02-18,1575,90,105
SP02,G3,P18,2021-02-18,5453,260,166
SP19,G4,P18,2021-02-18,4802,84,155
SP16,G1,P06,2021-02-19,7651,325,426
SP18,G1,P09,2021-02-19,2079,527,260
SP02,G4,P10,2021-02-19,2100,62,81
SP25,G5,P20,2021-02-19,5278,242,406
SP01,G2,P10,2021-02-19,4249,19,164
SP12,G2,P05,2021-02-19,3976,9,210
SP20,G2,P11,2021-02-19,6951,183,218
SP25,G6,P10,2021-02-19,616,161,25
SP09,G6,P13,2021-02-19,5439,115,287
SP10,G1,P02,2021-02-19,63,206,7
SP10,G3,P15,2021-02-19,1533,115,110
SP20,G2,P19,2021-02-19,3535,337,322
SP13,G3,P10,2021-02-19,2429,4,111
SP03,G1,P04,2021-02-19,7119,144,356
SP02,G4,P07,2021-02-19,3521,304,118
SP08,G2,P11,2021-02-19,3745,177,118
SP16,G5,P14,2021-02-19,4816,100,301
SP02,G6,P15,2021-02-19,1736,72,193
SP17,G5,P19,2021-02-19,1099,139,92
SP14,G6,P11,2021-02-19,6692,165,231
SP02,G5,P15,2021-02-22,364,177,31
SP08,G3,P13,2021-02-22,10927,202,476
SP12,G4,P13,2021-02-22,11410,103,476
SP24,G1,P16,2021-02-22,2443,337,82
SP14,G3,P14,2021-02-22,329,257,26
SP04,G4,P07,2021-02-22,3066,144,128
SP19,G4,P15,2021-02-22,567,243,38
SP14,G4,P20,2021-02-22,14721,257,1052
SP09,G4,P21,2021-02-22,6986,11,350
SP06,G2,P13,2021-02-22,14112,158,784
SP08,G6,P20,2021-02-22,1771,605,137
SP15,G5,P22,2021-02-22,5082,164,231
SP12,G3,P03,2021-02-22,1827,48,102
SP18,G1,P07,2021-02-22,182,85,7
SP08,G4,P21,2021-02-22,5369,136,269
SP06,G2,P07,2021-02-22,6034,169,275
SP09,G3,P05,2021-02-22,13209,204,881
SP12,G5,P17,2021-02-22,847,263,30
SP22,G3,P02,2021-02-22,1015,66,64
SP14,G3,P02,2021-02-23,16247,215,2031
SP21,G3,P15,2021-02-23,2422,41,303
SP10,G3,P22,2021-02-23,3997,333,174
SP24,G2,P03,2021-02-23,7182,125,479
SP21,G1,P05,2021-02-23,1246,163,70
SP24,G6,P06,2021-02-23,553,50,27
SP23,G2,P12,2021-02-23,2681,206,207
SP20,G5,P15,2021-02-23,2800,78,234
SP23,G6,P04,2021-02-23,4851,160,304
SP05,G3,P17,2021-02-23,168,3,6
SP11,G5,P12,2021-02-23,315,5,21
SP04,G3,P06,2021-02-23,11851,58,741
SP14,G4,P07,2021-02-23,3220,261,147
SP05,G6,P19,2021-02-23,11935,307,1194
SP03,G3,P22,2021-02-23,12404,186,478
SP22,G5,P12,2021-02-24,1519,132,90
SP22,G1,P17,2021-02-24,10934,182,476
SP25,G6,P22,2021-02-24,3346,179,129
SP24,G3,P10,2021-02-24,8351,36,398
SP12,G6,P14,2021-02-24,11718,76,733
SP17,G3,P10,2021-02-24,2681,115,117
SP22,G1,P02,2021-02-24,6188,292,563
SP11,G5,P08,2021-02-24,10941,182,521
SP11,G3,P01,2021-02-24,3647,220,141
SP23,G3,P22,2021-02-25,2436,130,122
SP11,G3,P17,2021-02-25,896,346,41
SP04,G2,P17,2021-02-25,3808,17,174
SP04,G3,P05,2021-02-25,10920,278,683
SP13,G4,P12,2021-02-25,4186,75,299
SP24,G3,P13,2021-02-25,6797,72,309
SP24,G5,P10,2021-02-25,4319,56,155
SP16,G3,P20,2021-02-25,1673,99,105
SP20,G4,P03,2021-02-25,735,84,35
SP20,G5,P11,2021-02-25,2632,39,106
SP04,G4,P09,2021-02-25,2030,68,170
SP03,G2,P18,2021-02-25,1169,265,47
SP09,G4,P05,2021-02-25,3703,54,206
SP01,G6,P14,2021-02-25,805,48,54
SP23,G6,P20,2021-02-25,406,260,21
SP20,G5,P09,2021-02-25,3591,73,360
SP20,G6,P14,2021-02-25,5551,210,463
